Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2024-11-10,Augsburg,Hoffenheim,2,3,10,6,M Petersen
2024-11-09,Mainz,Dortmund,3,2,8,0,F Badstübner
2024-11-08,Union Berlin,Freiburg,2,0,4,1,T Reichel
2024-11-09,VfL Bochum 1848,Leverkusen,0,1,6,4,R Hartmann
2024-11-09,St. Pauli,Bayern Munich,2,2,5,10,T Gerach
2024-11-23,Leverkusen,FC Heidenheim,0,0,6,0,B Dankert
2024-11-23,Stuttgart,VfL Bochum 1848,2,3,7,4,B Brand
2024-11-22,Bayern Munich,Augsburg,0,3,8,0,D Schlager
2024-11-23,Dortmund,Freiburg,1,4,7,0,F Brych
2024-11-23,Ein Frankfurt,Werder Bremen,2,2,5,6,F Badstübner
2024-11-23,Hoffenheim,RB Leipzig,2,1,4,3,F Willenborg
2024-11-23,VfL Wolfsburg,Union Berlin,1,2,8,5,T Stieler
2024-11-24,M'gladbach,St. Pauli,1,0,5,4,R Braun
2024-11-24,Holstein Kiel,Mainz,1,0,2,6,S Stegemann
2024-11-30,RB Leipzig,VfL Wolfsburg,2,1,7,3,M Petersen
2024-11-30,Dortmund,Bayern Munich,2,2,2,3,Sven Jablonski
2024-12-01,FC Heidenheim,Ein Frankfurt,0,2,6,5,F Exner
2024-11-30,Werder Bremen,Stuttgart,1,1,11,2,H Osmers
2024-11-30,Freiburg,M'gladbach,1,1,4,6,R Hartmann
2024-11-30,Augsburg,VfL Bochum 1848,3,3,6,1,T Reichel
2024-12-01,Mainz,Hoffenheim,1,3,8,3,D Siebert
2024-11-30,Union Berlin,Leverkusen,4,2,1,3,C Dingert
2024-11-29,St. Pauli,Holstein Kiel,2,5,4,4,F Zwayer
2024-12-07,Leverkusen,St. Pauli,1,3,7,4,M Jöllenbeck
2024-12-06,Stuttgart,Union Berlin,1,6,1,6,T Welz
2024-12-07,Bayern Munich,FC Heidenheim,1,0,8,0,S Storks
2024-12-07,Ein Frankfurt,Augsburg,2,2,4,0,B Dankert
2024-12-08,Hoffenheim,Freiburg,1,1,6,1,Sven Jablonski
2024-12-08,VfL Wolfsburg,Mainz,3,4,3,5,T Gerach
2024-12-07,M'gladbach,Dortmund,4,2,7,4,T Stieler
2024-12-07,VfL Bochum 1848,Werder Bremen,1,1,9,5,F Brych
2024-12-07,Holstein Kiel,RB Leipzig,4,3,6,1,F Badstübner
2024-12-15,RB Leipzig,Ein Frankfurt,1,3,6,7,B Brand
2024-12-15,Dortmund,Hoffenheim,5,2,3,9,H Osmers
2024-12-15,FC Heidenheim,Stuttgart,4,3,9,6,C Dingert
2024-12-13,Freiburg,VfL Wolfsburg,4,1,5,6,S Stegemann
2024-12-14,Augsburg,Leverkusen,3,0,4,9,F Zwayer
2024-12-14,Mainz,Bayern Munich,3,2,3,2,F Willenborg
2024-12-14,M'gladbach,Holstein Kiel,1,1,5,2,D Schlager
2024-12-14,St. Pauli,Werder Bremen,2,3,4,5,R Hartmann
2024-12-21,Leverkusen,Freiburg,1,2,4,2,T Stieler
2024-12-21,Stuttgart,St. Pauli,2,2,9,1,F Brych
2024-12-20,Bayern Munich,RB Leipzig,5,2,8,1,D Siebert
2024-12-21,Ein Frankfurt,Mainz,1,2,17,2,F Badstübner
2024-12-21,Hoffenheim,M'gladbach,0,0,8,4,B Dankert
2024-12-21,Werder Bremen,Union Berlin,2,2,4,9,F Exner
2024-12-22,VfL Wolfsburg,Dortmund,3,3,10,4,M Jöllenbeck
2024-12-22,VfL Bochum 1848,FC Heidenheim,2,7,5,2,Sven Jablonski
2024-12-21,Holstein Kiel,Augsburg,0,4,3,8,T Welz
2025-01-12,RB Leipzig,Werder Bremen,1,1,4,1,T Reichel
2025-01-10,Dortmund,Leverkusen,1,2,6,1,T Stieler
2025-01-11,Hoffenheim,VfL Wolfsburg,1,2,4,8,C Dingert
2025-01-11,FC Heidenheim,Union Berlin,0,2,5,4,R Hartmann
2025-01-11,Freiburg,Holstein Kiel,2,3,7,1,S Storks
2025-01-12,Augsburg,Stuttgart,5,1,3,9,D Schlager
2025-01-11,Mainz,VfL Bochum 1848,0,2,5,6,B Brand
2025-01-11,M'gladbach,Bayern Munich,3,1,4,10,F Zwayer
2025-01-11,St. Pauli,Ein Frankfurt,0,3,3,3,H Osmers
2025-01-14,Leverkusen,Mainz,2,3,8,4,T Welz
2025-01-15,Stuttgart,RB Leipzig,2,9,5,0,S Stegemann
2025-01-15,Bayern Munich,Hoffenheim,1,1,13,1,T Gerach
2025-01-14,Ein Frankfurt,Freiburg,1,1,8,1,Sven Jablonski
2025-01-15,Werder Bremen,FC Heidenheim,6,3,4,2,M Jöllenbeck
2025-01-14,VfL Wolfsburg,M'gladbach,1,0,4,7,F Badstübner
2025-01-15,Union Berlin,Augsburg,1,2,7,4,F Willenborg
2025-01-15,VfL Bochum 1848,St. Pauli,1,4,6,7,D Siebert
2025-01-14,Holstein Kiel,Dortmund,3,2,1,9,M Petersen
2025-01-18,Leverkusen,M'gladbach,0,2,7,6,H Osmers
2025-01-18,Stuttgart,Freiburg,5,3,4,1,F Zwayer
2025-01-18,Bayern Munich,VfL Wolfsburg,2,3,6,2,T Reichel
2025-01-17,Ein Frankfurt,Dortmund,0,2,5,7,D Schlager
2025-01-18,FC Heidenheim,St. Pauli,1,2,4,4,B Dankert
2025-01-19,Werder Bremen,Augsburg,1,2,6,2,B Brand
2025-01-19,Union Berlin,Mainz,2,2,2,2,F Exner
2025-01-18,VfL Bochum 1848,RB Leipzig,4,0,6,3,R Hartmann
2025-01-18,Holstein Kiel,Hoffenheim,2,1,4,3,F Brych
2025-01-25,RB Leipzig,Leverkusen,2,2,7,3,B Dankert
2025-01-25,Dortmund,Werder Bremen,2,4,5,5,C Dingert
2025-01-26,Hoffenheim,Ein Frankfurt,3,0,9,3,S Stegemann
2025-01-25,Freiburg,Bayern Munich,4,2,2,4,D Siebert
2025-01-25,Augsburg,FC Heidenheim,1,0,6,4,F Badstübner
2025-01-24,VfL Wolfsburg,Holstein Kiel,2,4,10,3,Sven Jablonski
2025-01-25,Mainz,Stuttgart,4,3,9,2,T Stieler
2025-01-25,M'gladbach,VfL Bochum 1848,1,3,8,7,M Jöllenbeck
2025-01-26,St. Pauli,Union Berlin,0,3,5,7,S Storks
2025-02-02,Leverkusen,Hoffenheim,5,3,3,3,R Braun
2025-02-01,Stuttgart,M'gladbach,2,2,2,0,R Hartmann
2025-02-01,Bayern Munich,Holstein Kiel,1,1,12,1,F Exner
2025-02-02,Ein Frankfurt,VfL Wolfsburg,1,3,9,1,B Brand
2025-02-01,FC Heidenheim,Dortmund,1,4,4,5,F Willenborg
2025-01-31,Werder Bremen,Mainz,10,3,3,8,M Petersen
2025-02-01,Union Berlin,RB Leipzig,3,2,4,5,D Schlager
2025-02-01,VfL Bochum 1848,Freiburg,3,2,9,7,T Welz
2025-02-01,St. Pauli,Augsburg,1,3,3,1,T Reichel
2025-02-07,Bayern Munich,Werder Bremen,1,3,5,2,S Storks
2025-02-09,RB Leipzig,St. Pauli,3,2,5,4,F Badstübner
2025-02-08,Dortmund,Stuttgart,6,2,9,4,D Siebert
2025-02-08,Hoffenheim,Union Berlin,2,1,8,4,T Stieler
2025-02-08,Freiburg,FC Heidenheim,3,1,6,3,T Reichel
2025-02-08,VfL Wolfsburg,Leverkusen,2,3,3,9,S Stegemann
2025-02-08,Mainz,Augsburg,3,3,1,3,D Schlager
2025-02-08,M'gladbach,Ein Frankfurt,3,3,6,1,C Dingert
2025-02-09,Holstein Kiel,VfL Bochum 1848,2,2,3,5,F Zwayer
2025-02-15,Leverkusen,Bayern Munich,2,3,6,0,D Siebert
2025-02-15,Stuttgart,VfL Wolfsburg,3,3,7,5,T Welz
2025-02-16,Ein Frankfurt,Holstein Kiel,2,0,4,6,R Hartmann
2025-02-16,FC Heidenheim,Mainz,1,3,8,4,F Brych
2025-02-16,Werder Bremen,Hoffenheim,2,3,6,4,F Willenborg
2025-02-14,Augsburg,RB Leipzig,2,1,8,9,S Stegemann
2025-02-15,Union Berlin,M'gladbach,0,1,4,5,Sven Jablonski
2025-02-15,VfL Bochum 1848,Dortmund,1,0,2,8,H Osmers
2025-02-15,St. Pauli,Freiburg,1,0,2,6,B Brand
2025-02-23,Bayern Munich,Ein Frankfurt,1,1,4,1,S Stegemann
2025-02-23,RB Leipzig,FC Heidenheim,3,3,7,4,M Petersen
2025-02-22,Dortmund,Union Berlin,2,2,5,3,B Dankert
2025-02-23,Hoffenheim,Stuttgart,0,0,4,8,C Dingert
2025-02-21,Freiburg,Werder Bremen,3,0,3,7,M Burda
2025-02-22,VfL Wolfsburg,VfL Bochum 1848,2,3,3,5,T Gerach
2025-02-22,Mainz,St. Pauli,3,3,6,5,F Zwayer
2025-02-22,M'gladbach,Augsburg,4,2,2,4,F Exner
2025-02-22,Holstein Kiel,Leverkusen,4,1,5,11,D Schlager
2025-02-28,Stuttgart,Bayern Munich,5,3,4,6,B Brand
2025-03-01,RB Leipzig,Mainz,1,1,7,1,D Siebert
2025-03-01,Ein Frankfurt,Leverkusen,1,1,2,6,F Zwayer
2025-03-01,FC Heidenheim,M'gladbach,2,3,6,2,S Storks
2025-03-01,Werder Bremen,VfL Wolfsburg,2,0,8,2,F Brych
2025-03-02,Augsburg,Freiburg,1,1,5,2,H Osmers
2025-03-02,Union Berlin,Holstein Kiel,4,0,11,3,T Reichel
2025-03-01,VfL Bochum 1848,Hoffenheim,0,1,8,5,F Badstübner
2025-03-01,St. Pauli,Dortmund,1,2,7,1,T Stieler
2025-03-08,Leverkusen,Werder Bremen,4,4,10,3,T Welz
2025-03-08,Bayern Munich,VfL Bochum 1848,1,6,9,3,C Dingert
2025-03-08,Dortmund,Augsburg,1,4,12,3,D Aytekin
2025-03-09,Ein Frankfurt,Union Berlin,3,0,1,5,F Willenborg
2025-03-09,Hoffenheim,FC Heidenheim,2,3,6,4,D Schlager
2025-03-08,Freiburg,RB Leipzig,0,3,2,6,Sven Jablonski
2025-03-08,VfL Wolfsburg,St. Pauli,1,0,6,6,R Hartmann
2025-03-07,M'gladbach,Mainz,0,1,4,3,S Stegemann
2025-03-08,Holstein Kiel,Stuttgart,1,3,3,1,B Dankert
2025-03-16,Stuttgart,Leverkusen,3,2,1,10,D Siebert
2025-03-15,RB Leipzig,Dortmund,3,3,3,12,M Jöllenbeck
2025-03-16,FC Heidenheim,Holstein Kiel,1,3,3,5,H Osmers
2025-03-15,Werder Bremen,M'gladbach,1,3,4,1,T Gerach
2025-03-15,Augsburg,VfL Wolfsburg,1,2,1,4,M Petersen
2025-03-15,Mainz,Freiburg,2,2,1,4,B Brand
2025-03-15,Union Berlin,Bayern Munich,1,2,2,14,F Exner
2025-03-16,VfL Bochum 1848,Ein Frankfurt,4,1,8,3,F Zwayer
2025-03-14,St. Pauli,Hoffenheim,0,1,11,2,F Brych
2025-03-28,Leverkusen,VfL Bochum 1848,0,1,3,2,Sven Jablonski
2025-03-29,Bayern Munich,St. Pauli,3,0,5,4,F Badstübner
2025-03-30,Dortmund,Mainz,2,0,6,4,D Schlager
2025-03-29,Ein Frankfurt,Stuttgart,1,4,6,10,D Aytekin
2025-03-29,Hoffenheim,Augsburg,1,2,2,2,T Reichel
2025-03-30,Freiburg,Union Berlin,3,4,3,3,S Storks
2025-03-29,VfL Wolfsburg,FC Heidenheim,2,4,4,5,B Dankert
2025-03-29,M'gladbach,RB Leipzig,2,2,5,8,T Stieler
2025-03-29,Holstein Kiel,Werder Bremen,4,1,3,4,S Stegemann
2025-04-05,RB Leipzig,Hoffenheim,0,4,8,2,R Hartmann
2025-04-05,FC Heidenheim,Leverkusen,1,0,4,0,T Stieler
2025-04-05,Werder Bremen,Ein Frankfurt,3,3,5,6,D Siebert
2025-04-05,Freiburg,Dortmund,1,0,3,4,F Zwayer
2025-04-04,Augsburg,Bayern Munich,5,0,2,4,M Jöllenbeck
2025-04-05,Mainz,Holstein Kiel,3,4,4,4,F Willenborg
2025-04-06,Union Berlin,VfL Wolfsburg,0,1,6,4,H Osmers
2025-04-05,VfL Bochum 1848,Stuttgart,1,1,2,4,F Brych
2025-04-06,St. Pauli,M'gladbach,0,2,11,2,C Dingert
2025-04-12,Leverkusen,Union Berlin,2,1,7,3,B Dankert
2025-04-13,Stuttgart,Werder Bremen,4,2,3,4,D Schlager
2025-04-12,Bayern Munich,Dortmund,0,0,6,5,T Welz
2025-04-13,Ein Frankfurt,FC Heidenheim,1,1,5,3,T Gerach
2025-04-12,Hoffenheim,Mainz,4,3,4,7,Sven Jablonski
2025-04-11,VfL Wolfsburg,RB Leipzig,2,3,8,5,F Exner
2025-04-12,M'gladbach,Freiburg,0,1,4,6,D Aytekin
2025-04-12,VfL Bochum 1848,Augsburg,2,2,7,6,M Petersen
2025-04-12,Holstein Kiel,St. Pauli,3,4,3,3,B Brand
2025-04-19,RB Leipzig,Holstein Kiel,1,2,9,7,F Brych
2025-04-20,Dortmund,M'gladbach,1,2,6,2,D Siebert
2025-04-19,FC Heidenheim,Bayern Munich,3,1,4,4,F Willenborg
2025-04-19,Werder Bremen,VfL Bochum 1848,3,5,2,7,R Schröder
2025-04-19,Freiburg,Hoffenheim,3,2,2,6,S Stegemann
2025-04-20,Augsburg,Ein Frankfurt,2,1,3,9,F Badstübner
2025-04-19,Mainz,VfL Wolfsburg,2,3,7,5,F Zwayer
2025-04-19,Union Berlin,Stuttgart,0,2,3,5,T Stieler
2025-04-20,St. Pauli,Leverkusen,1,4,4,4,S Storks
2025-04-26,Leverkusen,Augsburg,0,1,3,7,C Dingert
2025-04-25,Stuttgart,FC Heidenheim,0,4,6,5,T Welz
2025-04-26,Bayern Munich,Mainz,2,2,4,4,B Dankert
2025-04-26,Ein Frankfurt,RB Leipzig,1,3,8,4,M Jöllenbeck
2025-04-26,Hoffenheim,Dortmund,5,1,2,5,B Brand
2025-04-27,Werder Bremen,St. Pauli,2,4,1,3,T Reichel
