Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2024-10-06,Girona,Ath Bilbao,4,4,6,1,J Pulido Santana
2024-10-06,Sociedad,Ath Madrid,0,2,5,1,I Díaz de Mera Escuderos
2024-10-06,Sevilla,Betis,7,4,4,1,J Martínez Munuera
2024-10-05,Las Palmas,Celta,3,10,11,2,A Cordero Vega
2024-10-05,Real Valladolid,Vallecano,4,2,5,13,P González Fuertes
2024-10-20,Ath Madrid,Leganés,5,1,8,2,J Munuera Montero
2024-10-20,Barcelona,Sevilla,1,2,5,5,R De Burgos Bengoetxea
2024-10-19,Celta,Real Madrid,2,1,6,2,A Hernández Hernández
2024-10-19,Girona,Sociedad,2,1,6,6,C Soto Grado
2024-10-20,Mallorca,Vallecano,1,1,9,2,Javier Alberola Rojas
2024-10-18,Alaves,Real Valladolid,7,2,5,6,M Melero López
2024-10-19,Osasuna,Betis,2,2,10,2,A Muñíz Ruiz
2024-10-20,Villarreal,Getafe,4,3,5,5,V García Verdura
2024-10-21,Valencia,Las Palmas,4,9,11,2,J Gil Manzano
2024-10-19,Ath Bilbao,Espanol,2,3,5,5,M Busquets Ferrer
2024-10-27,Getafe,Valencia,3,7,8,2,G Cuadra Fernández
2024-10-25,Espanol,Sevilla,2,0,13,2,M Ortiz Arias
2024-10-28,Mallorca,Ath Bilbao,6,1,1,14,J Martínez Munuera
2024-10-27,Betis,Ath Madrid,3,2,3,10,J Gil Manzano
2024-10-26,Real Madrid,Barcelona,2,5,10,3,J Sánchez Martínez
2024-10-27,Leganés,Celta,2,2,4,2,M Melero López
2024-10-26,Las Palmas,Girona,4,6,3,5,A Quintero González
2024-10-27,Sociedad,Osasuna,3,4,14,4,J Pulido Santana
2024-10-26,Real Valladolid,Villarreal,4,2,4,6,F Hernández Maeso
2024-10-26,Vallecano,Alaves,3,4,6,2,A Cordero Vega
2024-11-03,Ath Bilbao,Betis,0,0,6,2,Javier Alberola Rojas
2024-11-03,Ath Madrid,Las Palmas,1,1,9,1,R De Burgos Bengoetxea
2024-11-04,Celta,Getafe,1,5,0,2,J Gil Manzano
2024-11-02,Girona,Leganés,3,4,6,1,M Busquets Ferrer
2024-11-02,Osasuna,Real Valladolid,1,5,7,2,V García Verdura
2024-11-01,Alaves,Mallorca,3,2,7,2,P González Fuertes
2024-12-18,Villarreal,Vallecano,5,3,7,7,A Hernández Hernández
2025-01-03,Valencia,Real Madrid,2,4,2,5,C Soto Grado
2024-11-03,Sevilla,Sociedad,2,1,5,9,A Muñíz Ruiz
2024-11-03,Barcelona,Espanol,0,3,9,5,J Munuera Montero
2024-11-10,Betis,Celta,3,0,2,0,M Ortiz Arias
2024-11-10,Getafe,Girona,3,3,5,2,J Martínez Munuera
2024-11-09,Leganés,Sevilla,2,2,0,6,J Pulido Santana
2024-12-18,Espanol,Valencia,1,0,4,7,P González Fuertes
2024-11-10,Real Valladolid,Ath Bilbao,4,4,5,5,A Cordero Vega
2024-11-10,Mallorca,Ath Madrid,1,3,7,2,J Sánchez Martínez
2024-11-10,Sociedad,Barcelona,3,1,7,6,G Cuadra Fernández
2024-11-09,Real Madrid,Osasuna,0,2,11,3,M Melero López
2024-11-08,Vallecano,Las Palmas,1,3,12,4,F Hernández Maeso
2024-11-09,Villarreal,Alaves,1,3,7,2,A Quintero González
2024-11-24,Ath Bilbao,Sociedad,3,4,4,4,J Gil Manzano
2024-11-22,Getafe,Real Valladolid,3,2,3,2,P González Fuertes
2024-11-24,Osasuna,Villarreal,6,4,0,8,J Munuera Montero
2024-11-23,Las Palmas,Mallorca,4,3,4,3,A Muñíz Ruiz
2024-11-24,Leganés,Real Madrid,2,0,2,4,Javier Alberola Rojas
2024-11-23,Celta,Barcelona,5,6,5,1,C Soto Grado
2024-11-23,Valencia,Betis,4,2,2,4,R De Burgos Bengoetxea
2024-11-24,Sevilla,Vallecano,2,6,8,3,M Busquets Ferrer
2024-11-23,Ath Madrid,Alaves,3,3,5,0,V García Verdura
2024-11-23,Girona,Espanol,0,3,6,3,A Hernández Hernández
2024-11-30,Barcelona,Las Palmas,0,0,7,0,A Cordero Vega
2024-11-29,Mallorca,Valencia,1,1,3,6,A Quintero González
2024-11-30,Alaves,Leganés,1,4,13,8,I Díaz de Mera Escuderos
2024-11-30,Espanol,Celta,2,2,2,5,J Sánchez Martínez
2024-12-01,Vallecano,Ath Bilbao,3,0,1,7,M Melero López
2024-11-30,Real Valladolid,Ath Madrid,1,2,3,5,G Cuadra Fernández
2024-12-01,Sociedad,Betis,3,2,0,4,F Hernández Maeso
2024-12-01,Real Madrid,Getafe,2,6,5,3,A Hernández Hernández
2024-12-01,Villarreal,Girona,2,6,1,5,M Ortiz Arias
2024-12-02,Sevilla,Osasuna,1,1,5,1,J Martínez Munuera
2024-12-08,Ath Bilbao,Villarreal,2,1,3,3,V García Verdura
2024-12-08,Ath Madrid,Sevilla,4,3,5,3,Javier Alberola Rojas
2024-12-06,Celta,Mallorca,1,1,3,3,R De Burgos Bengoetxea
2024-12-07,Girona,Real Madrid,3,2,6,3,J Gil Manzano
2024-12-07,Las Palmas,Real Valladolid,4,2,3,3,I Díaz de Mera Escuderos
2024-12-08,Leganés,Sociedad,2,2,5,3,P González Fuertes
2024-12-07,Betis,Barcelona,1,2,6,4,A Muñíz Ruiz
2024-12-07,Valencia,Vallecano,2,2,9,4,J Munuera Montero
2024-12-08,Osasuna,Alaves,5,3,8,3,C Soto Grado
2024-12-09,Getafe,Espanol,3,6,3,3,M Busquets Ferrer
2024-12-15,Ath Madrid,Getafe,3,1,8,3,C Soto Grado
2024-12-15,Barcelona,Leganés,0,2,8,2,A Quintero González
2024-12-14,Vallecano,Real Madrid,4,2,4,3,J Martínez Munuera
2024-12-15,Alaves,Ath Bilbao,2,2,2,4,J Sánchez Martínez
2024-12-14,Espanol,Osasuna,3,1,5,4,A Cordero Vega
